  1.1400E+00  1.1500E+00  2.5282E-01  1.0381E+00  1.4532E+00  1.4826E-01
  1.1600E+00  1.1700E+00  2.5457E-01  1.0265E+00  1.4566E+00  1.4964E-01
  1.1800E+00  1.1900E+00  2.5748E-01  1.0105E+00  1.4628E+00  1.5199E-01
  1.2000E+00  1.2100E+00  2.6124E-01  9.9101E-01  1.4713E+00  1.5509E-01
  1.2200E+00  1.2300E+00  2.6552E-01  9.6930E-01  1.4814E+00  1.5868E-01
  1.2400E+00  1.2500E+00  2.6999E-01  9.4657E-01  1.4926E+00  1.6253E-01
  1.2600E+00  1.2700E+00  2.7430E-01  9.2380E-01  1.5048E+00  1.6642E-01
  1.2800E+00  1.2900E+00  2.7810E-01  9.0175E-01  1.5188E+00  1.7024E-01
  1.3000E+00  1.3100E+00  2.8099E-01  8.8083E-01  1.5358E+00  1.7387E-01
  1.3200E+00  1.3300E+00  2.8246E-01  8.6124E-01  1.5584E+00  1.7730E-01
  1.3400E+00  1.3500E+00  2.8198E-01  8.4301E-01  1.5897E+00  1.8050E-01
  1.3600E+00  1.3700E+00  2.7908E-01  8.2606E-01  1.6330E+00  1.8346E-01
  1.3800E+00  1.3900E+00  2.7355E-01  8.1028E-01  1.6913E+00  1.8619E-01
  1.4000E+00  1.4100E+00  2.6556E-01  7.9556E-01  1.7661E+00  1.8870E-01
  1.4200E+00  1.4300E+00  2.5571E-01  7.8179E-01  1.8568E+00  1.9098E-01
  1.4400E+00  1.4500E+00  2.4499E-01  7.6887E-01  1.9595E+00  1.9304E-01
  1.4600E+00  1.4700E+00  2.3447E-01  7.5671E-01  2.0676E+00  1.9491E-01
  1.4800E+00  1.4900E+00  2.2513E-01  7.4524E-01  2.1724E+00  1.9659E-01
  1.5000E+00  1.5100E+00  2.1759E-01  7.3440E-01  2.2656E+00  1.9812E-01
  1.5200E+00  1.5300E+00  2.1209E-01  7.2413E-01  2.3411E+00  1.9952E-01
  1.5400E+00  1.5500E+00  2.0852E-01  7.1440E-01  2.3970E+00  2.0082E-01
  1.5600E+00  1.5700E+00  2.0653E-01  7.0515E-01  2.4349E+00  2.0204E-01
  1.5800E+00  1.5900E+00  2.0571E-01  6.9637E-01  2.4588E+00  2.0319E-01
  1.6000E+00  1.6100E+00  2.0566E-01  6.8801E-01  2.4729E+00  2.0429E-01
  1.6200E+00  1.6300E+00  2.0606E-01  6.8005E-01  2.4810E+00  2.0534E-01
  1.6400E+00  1.6500E+00  2.0670E-01  6.7247E-01  2.4856E+00  2.0635E-01
