  5.6011E-01  8.9218E-01  1.4161E-04
  1.1202E+00  8.9135E-01  3.0890E-04
  1.6803E+00  8.7876E-01  5.0258E-04
  2.2404E+00  8.6319E-01  7.2248E-04
  2.8006E+00  8.4621E-01  9.6799E-04
  3.3607E+00  8.2841E-01  1.2381E-03
  3.9208E+00  8.1006E-01  1.5317E-03
  4.4809E+00  7.9136E-01  1.8474E-03
  5.0410E+00  7.7244E-01  2.1836E-03
  5.6011E+00  7.5342E-01  2.5388E-03
  6.1612E+00  7.3441E-01  2.9112E-03
  6.7213E+00  7.1547E-01  3.2992E-03
  7.2815E+00  6.9669E-01  3.7011E-03
  7.8416E+00  6.7813E-01  4.1152E-03
  8.4017E+00  6.5984E-01  4.5399E-03
  8.9618E+00  6.4186E-01  4.9737E-03
  9.5219E+00  6.2423E-01  5.4149E-03
  1.0082E+01  6.0699E-01  5.8622E-03
  1.0642E+01  5.9014E-01  6.3143E-03
  1.1202E+01  5.7372E-01  6.7698E-03
  1.1762E+01  5.5774E-01  7.2277E-03
  1.2322E+01  5.4220E-01  7.6869E-03
  1.2883E+01  5.2711E-01  8.1462E-03
  1.3443E+01  5.1247E-01  8.6050E-03
  1.4003E+01  4.9829E-01  9.0622E-03
  1.4563E+01  4.8456E-01  9.5173E-03
  1.5123E+01  4.7128E-01  9.9694E-03
  1.5683E+01  4.5843E-01  1.0418E-02
  1.6243E+01  4.4602E-01  1.0863E-02
  1.6803E+01  4.3402E-01  1.1303E-02
  1.7363E+01  4.2245E-01  1.1738E-02
  1.7924E+01  4.1127E-01  1.2168E-02
  1.8484E+01  4.0048E-01  1.2593E-02
  1.9044E+01  3.9008E-01  1.3012E-02
  1.9604E+01  3.8004E-01  1.3425E-02
  2.0164E+01  3.7036E-01  1.3831E-02
  2.0724E+01  3.6103E-01  1.4231E-02
  2.1284E+01  3.5203E-01  1.4625E-02
  2.1844E+01  3.4335E-01  1.5012E-02
  2.2404E+01  3.3498E-01  1.5393E-02
  2.2965E+01  3.2691E-01  1.5767E-02
  2.3525E+01  3.1912E-01  1.6135E-02
  2.4085E+01  3.1162E-01  1.6495E-02
  2.4645E+01  3.0438E-01  1.6850E-02
  2.5205E+01  2.9739E-01  1.7197E-02
  2.5765E+01  2.9065E-01  1.7538E-02
  2.6325E+01  2.8415E-01  1.7873E-02
  2.6885E+01  2.7787E-01  1.8201E-02
