  5.6011E-01  4.4505E+05  1.2396E+09
  1.1202E+00  3.5358E+06  4.1247E+09
  1.6803E+00  1.1870E+07  8.8112E+09
  2.2404E+00  2.7999E+07  1.5313E+10
  2.8006E+00  5.4428E+07  2.3630E+10
  3.3607E+00  9.3618E+07  3.3754E+10
  3.9208E+00  1.4799E+08  4.5680E+10
  4.4809E+00  2.1990E+08  5.9399E+10
  5.0410E+00  3.1170E+08  7.4902E+10
  5.6011E+00  4.2567E+08  9.2181E+10
  6.1612E+00  5.6406E+08  1.1123E+11
  6.7213E+00  7.2907E+08  1.3203E+11
  7.2815E+00  9.2287E+08  1.5459E+11
  7.8416E+00  1.1476E+09  1.7888E+11
  8.4017E+00  1.4053E+09  2.0491E+11
  8.9618E+00  1.6981E+09  2.3266E+11
  9.5219E+00  2.0279E+09  2.6213E+11
  1.0082E+01  2.3968E+09  2.9330E+11
  1.0642E+01  2.8066E+09  3.2617E+11
  1.1202E+01  3.2594E+09  3.6073E+11
  1.1762E+01  3.7568E+09  3.9697E+11
  1.2322E+01  4.3009E+09  4.3488E+11
  1.2883E+01  4.8933E+09  4.7446E+11
  1.3443E+01  5.5358E+09  5.1569E+11
  1.4003E+01  6.2303E+09  5.5857E+11
  1.4563E+01  6.9782E+09  6.0309E+11
  1.5123E+01  7.7814E+09  6.4923E+11
  1.5683E+01  8.6415E+09  6.9700E+11
  1.6243E+01  9.5600E+09  7.4639E+11
  1.6803E+01  1.0539E+10  7.9738E+11
  1.7363E+01  1.1579E+10  8.4996E+11
  1.7924E+01  1.2682E+10  9.0414E+11
  1.8484E+01  1.3850E+10  9.5990E+11
  1.9044E+01  1.5083E+10  1.0172E+12
  1.9604E+01  1.6384E+10  1.0761E+12
  2.0164E+01  1.7754E+10  1.1366E+12
  2.0724E+01  1.9195E+10  1.1986E+12
  2.1284E+01  2.0706E+10  1.2621E+12
  2.1844E+01  2.2291E+10  1.3272E+12
  2.2404E+01  2.3949E+10  1.3938E+12
  2.2965E+01  2.5683E+10  1.4620E+12
  2.3525E+01  2.7494E+10  1.5316E+12
  2.4085E+01  2.9382E+10  1.6027E+12
  2.4645E+01  3.1350E+10  1.6754E+12
  2.5205E+01  3.3397E+10  1.7495E+12
  2.5765E+01  3.5526E+10  1.8251E+12
  2.6325E+01  3.7738E+10  1.9022E+12
  2.6885E+01  4.0032E+10  1.9808E+12
  2.7445E+01  4.2412E+10  2.0608E+12
  2.8006E+01  4.4877E+10  2.1423E+12
  2.8566E+01  4.7428E+10  2.2252E+12
  2.9126E+01  5.0067E+10  2.3095E+12
  2.9686E+01  5.2795E+10  2.3953E+12
  3.0246E+01  5.5612E+10  2.4825E+12
  3.0806E+01  5.8520E+10  2.5711E+12
  3.1366E+01  6.1519E+10  2.6612E+12
  3.1926E+01  6.4610E+10  2.7526E+12
  3.2486E+01  6.7795E+10  2.8454E+12
  3.3047E+01  7.1073E+10  2.9396E+12
  3.3607E+01  7.4446E+10  3.0352E+12
  3.4167E+01  7.7915E+10  3.1322E+12
  3.4727E+01  8.1481E+10  3.2305E+12
  3.5287E+01  8.5143E+10  3.3302E+12
  3.5847E+01  8.8904E+10  3.4313E+12
  3.6407E+01  9.2763E+10  3.5337E+12
  3.6967E+01  9.6721E+10  3.6375E+12
  3.7528E+01  1.0078E+11  3.7425E+12
  3.8088E+01  1.0494E+11  3.8489E+12
  3.8648E+01  1.0920E+11  3.9567E+12
  3.9208E+01  1.1356E+11  4.0657E+12
  3.9768E+01  1.1803E+11  4.1761E+12
  4.0328E+01  1.2260E+11  4.2877E+12
  4.0888E+01  1.2727E+11  4.4007E+12
  4.1448E+01  1.3205E+11  4.5149E+12
  4.2008E+01  1.3693E+11  4.6304E+12
  4.2569E+01  1.4192E+11  4.7472E+12
  4.3129E+01  1.4702E+11  4.8653E+12
  4.3689E+01  1.5222E+11  4.9846E+12
  4.4249E+01  1.5753E+11  5.1052E+12
  4.4809E+01  1.6294E+11  5.2271E+12
  4.5369E+01  1.6847E+11  5.3502E+12
  4.5929E+01  1.7410E+11  5.4745E+12
  4.6489E+01  1.7985E+11  5.6000E+12
  4.7049E+01  1.8570E+11  5.7268E+12
  4.7610E+01  1.9166E+11  5.8548E+12
  4.8170E+01  1.9773E+11  5.9841E+12
  4.8730E+01  2.0392E+11  6.1145E+12
  4.9290E+01  2.1021E+11  6.2461E+12
  4.9850E+01  2.1662E+11  6.3790E+12
  5.0410E+01  2.2314E+11  6.5130E+12
  5.0970E+01  2.2977E+11  6.6482E+12
  5.1530E+01  2.3651E+11  6.7846E+12
  5.2090E+01  2.4337E+11  6.9221E+12
  5.2651E+01  2.5034E+11  7.0609E+12
